venueID,venueName,barangayAddress,cityAddress,maxCapacity,intimate,business,fun,casual,venueDesc,availabilityDays,amAvail,nnAvail,pmAvail,eventPlanner,equipRentals,decoServices,onsiteStaff,techSupport,pwdFriendly,parking,cateringServices,securityStaff,wifiAccess,priceRangeID,contactEmail,contactNum,facebookLink,instagramLink,websiteLink,payCash,payBank,payElectronic,latitude,longitude,publicTranspo,routes,landmarks,imgs,img2,img3
11,Arcadia Event Center,"Col. Emilio Escandor St., Davao Gulf Drive, Ecoland Dr","Talomo, Davao City",100,1,1,1,1,"Located in the vibrant Matina Enclaves along Quimpo Boulevard, Arcadia Event Center is a premier venue in Davao City, offering versatile spaces tailored for various events. Whether it's an intimate gathering or a grand celebration, Arcadia provides the ideal setting to make your occasion memorable.",5,1,1,1,0,1,1,1,0,0,1,1,0,0,5, arcadialifestylecenter@gmail.com,9171330042,https://www.facebook.com/eventcenterbyarcadia/,https://www.instagram.com/arcadiaeventcenter/,,1,1,1,7.053375332,125.5841804,"Jeepney, Tricycle",MINTAL,SM City Ecoland,uploads/1747240412_11.jpg,uploads/1747240412_11(2).jpg,uploads/1747240412_11(3).jpg
12,SMX Convention Center Meeting Rooms,"3rd Level, SM Lanang Premier, J.P. Laurel Avenue","Lanang, Davao City",250,0,1,0,0,SMX Convention Center Davao offers a range of versatile meeting rooms designed to accommodate various event sizes and setups.,1,1,1,1,1,0,0,1,1,1,0,0,0,0,3,eventsales@smxcc.com.ph,9175525667,https://www.facebook.com/smxccdavao/,,https://www.smxconventioncenter.com/smx-davao/#overview-2,1,1,0,7.09888076,125.6302574,Jeepney,SASA,,uploads/1747240568_12.jpg,uploads/1747240568_12(2).jpg,uploads/1747240568_12(3).jpg
13,SMX Convention Center Function Halls,"3rd Level, SM Lanang Premier, J.P. Laurel Avenue","Lanang, Davao City",5000,0,1,1,0,"Elevate your events at SMX Davao Convention Center, the largest privately owned and managed convention and exhibition center in Southern Philippines. Located on the 3rd level of SM Lanang Premier in Davao City, this state-of-the-art venue offers versatile spaces designed to accommodate a wide range of events, from intimate gatherings to grand celebrations.",1,1,1,1,1,0,0,1,1,0,0,0,0,0,5,eventsales@smxcc.com.ph,9175525667,https://www.facebook.com/smxccdavao/,,https://www.smxconventioncenter.com/smx-davao/#overview-2,1,1,0,7.09888076,125.6302574,Jeepney,SASA,SM Lanang,uploads/1747240589_13.jpg,uploads/1747240589_13(2).jpg,uploads/1747240589_13(3).jpg
14,CAP Auditorium,37 I?igo Street,"Poblacion District, Davao City",1000,0,1,1,0,"Located in the heart of Davao City at 37 Iñigo Street, Poblacion District, CAP Auditorium offers a versatile and accessible setting for various events. Known for its spacious auditorium, it can accommodate up to 1,000 guests, making it suitable for conferences, seminars, concerts, and community gatherings. The venue is equipped with modern facilities, including air-conditioned interiors, a stage, and ample seating arrangements.",1,1,1,1,1,1,0,1,0,0,0,0,0,0,5,martha_antonio@yahoo.com,823050610,https://www.facebook.com/CAPAndaRizalConvventionCenter/,,,1,1,0,7.067475349,125.608083,Jeepney,TORIL,University of Mindanao - Bolton Campus,uploads/1747240685_14.jpg,uploads/1747240685_14(2).jpg,uploads/1747240685_14(3).jpg
15,The Mangroves,"Brgy, Purok San Nicolas Dumalag Coastal Rd","Talomo, Davao City",500,1,1,1,1,"Discover The Mangroves, a premier event venue nestled along the scenic Dumalag Coastal Road in Matina Aplaya, Davao City. This lush, open-air space offers a tranquil yet vibrant setting for a variety of occasions, from intimate gatherings to grand celebrations.",1,1,1,1,1,1,1,1,0,1,0,0,0,0,5,,9171041491,https://www.facebook.com/themangrovesdavao/,,,1,1,0,7.039399783,125.5780673,Tricycle,,,uploads/1747240761_15.jpg,uploads/1747240761_15(2).jpg,uploads/1747240761_15(3).jpg
16,Salome's Garden by Chippens,Holy Trinity Village,"Buhangin, Davao City",350,1,0,0,1,"An enchanting open-air venue tucked in the heart of Davao, Salome�s Garden by Chippens blends lush greenery with timeless elegance. Perfect for weddings, parties, and intimate gatherings, this garden setting offers serene natural beauty paired with the trusted hospitality of Chippens.",1,1,1,1,0,0,1,1,0,0,0,1,0,0,3,info.salomesgarden@gmail.com,,https://www.facebook.com/SalomesGardenByChippens/,,,1,1,1,7.1214733,125.6189952,"Jeepney, Tricycle",CABANTIAN,Holy Child - Cabantian Campus,,,
17,I-Hub Davao - CoWorking Space and Bistro,"iHub at Pines Place, Pioneer Drive","Bajada, Davao City",200,0,1,1,1,"Good food, great games, and even better company - that's how memories are made!",1,1,1,1,0,1,0,1,1,1,0,1,1,1,3,ihubdavao@gmail.com,9855713768,https://www.facebook.com/ihubdvo,https://www.instagram.com/ihubdvo/,,1,1,1,7.099079078,125.6267962,Jeepney,SASA,Robinsons Cybergate Davao,,,
18,Grand Menseng Hotel,Pichon Street,"Poblacion District, Davao City",2000,1,1,1,1,"The hotel features 70 spacious, air-conditioned rooms equipped with amenities like minibars, cable TV, and complimentary Wi-Fi. Guests can enjoy on-site dining options, including a restaurant serving Filipino cuisine, and take advantage of facilities such as an outdoor pool, massage services, and a business center.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,sales@grandmenseng.com,917 702 2988,,,https://grandmenseng.com/,1,0,1,7.064875419,125.6064307,Jeepney,"SASA, BUHANGIN, COMMUNAL, TALOMO, PUAN, MAA","Davao City Hall, Rizal Park",,,
19,Robinsons Highlands Clubhouse,Along Diversion Road,"Buhangin, Davao City",500,1,1,1,1,"The clubhouse at Robinsons Highlands in Buhangin, Davao City, serves as the heart of this exclusive residential community, offering a range of amenities designed to enhance the lifestyle of its residents.",3,0,1,1,0,1,0,1,0,1,1,1,1,1,3,,293 9374,,,,1,0,1,7.108546442,125.598733,"Bus, Jeepney, Tricycle","JADE VALLEY, EL RIO",Green Heights,,,
20,Grand Regal Hotel,JP Laurel Avenue,"Lanang, Davao City",1000,1,1,1,1,"Experience the essence of Davao with Grand Regal � a journey of authentic discovery, where luxury accommodations, exquisite dining, and unparalleled hospitality await.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,reservations@thegrandregalhotel.com,966 174 0888,https://www.facebook.com/GrandRegalHotelsDavao,https://www.instagram.com/grandregalhoteldavao,https://thegrandregalhotel.com/,1,0,1,7.103593221,125.6418585,Jeepney,SASA,Azuela Cove,,,
21,Waterfront Insular Hotel,Km 7,"Lanang, Davao City",500,1,1,1,1,"Waterfront Insular Hotel Davao offers a serene beachfront retreat for two, surrounded by lush gardens and colonial architecture. Conveniently near Samal Island, enjoy cultural charm and unique Durian-inspired cuisine. Located in Lanang, Davao City, Waterfront Insular Hotel offers easy access to upscale dining, shopping, and Samal Island's beaches. Enjoy a serene pool, vibrant nightlife at the nightclub, or unwind at the private beach. Rooms feature private balconies or terraces, free WiFi, and garden or pool views for added tranquility. Nearby attractions include the Davao Museum of History and Lon Wa Temple, making it ideal for leisure and cultural exploration. [Some content may be Generative AI assisted. Inaccuracies may occur.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,233 2881,https://www.facebook.com/waterfront.davao/,,https://www.waterfronthotels.com.ph/waterfront-insular-hotel-davao/,1,0,1,7.106571443,125.6502465,Tricycle,,"Davao International Aiport, SM Lanang",,,
22,The Club at Northtown - The Pavilion,Northtown Subdivision Phase 2,"Cabantian, Davao City",300,1,1,1,1,"The Pavilion is the perfect venue for grand celebrations and assemblies, may it be weddings, milestone birthdays, bazaars, or corporate events.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,info@alsonsproperties.com,2279609,https://www.facebook.com/NorthtownAlsonsProperties/,,https://www.instagram.com/alsonspropertiesofficial/,1,0,1,7.138586232,125.6002374,Jeepney,"CABANTIAN, INDANGAN",Cabantian Elementary School,,,
23,The Club at Northtown - Function Halls,Northtown Subdivision Phase 3,"Cabantian, Davao City",300,1,1,1,1,Two air-conditioned function halls designed in the Tropical Contemporary theme are outfitted with top-grade acoustic panels for soundproofing. Each hall can comfortably accommodate up to 150 guests while adjoining both provides space for up to 300 people.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,info@alsonsproperties.com,2279610,https://www.facebook.com/NorthtownAlsonsProperties/,,https://www.instagram.com/alsonspropertiesofficial/,1,0,1,7.138586232,125.6002374,Jeepney,"CABANTIAN, INDANGAN",Cabantian Elementary School,,,
24,The Club at Northtown - The Plaze,Northtown Subdivision Phase 4,"Cabantian, Davao City",300,1,1,1,1,"For casual gatherings, The Plaza is a fantastic choice. Surrounded by lush landscaping, this 463-sqm paved open area can accommodate up to 300 guests.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,info@alsonsproperties.com,2279611,https://www.facebook.com/NorthtownAlsonsProperties/,,https://www.instagram.com/alsonspropertiesofficial/,1,0,1,7.138586232,125.6002374,Jeepney,"CABANTIAN, INDANGAN",Cabantian Elementary School,,,
25,Northcrest Club House,Northcrest Subdivision,"Cabantian, Davao City",200,1,1,1,1,"The Northcrest Clubhouse in Cabantian, Buhangin, Davao City, serves as a central hub for community gatherings and recreational activities within the Northcrest residential subdivision.",2,0,1,1,0,1,1,1,0,0,1,1,0,0,4,,2411066,https://www.facebook.com/northcrestclubhouse/,https://www.instagram.com/explore/locations/400706291/northcrest-clubhouse/,,1,0,0,7.132826526,125.6104053,Jeepney,CABANTIAN,St. Mary's Shrine,,,
26,The Pinnacle Hotel and Suites,Sta Ana Avenue,"Poblacion District, Davao City",300,1,1,0,1,"The Pinnacle Hotel and Suites is a modern 12-story hotel located in the heart of Davao City, Philippines. Established in 2010, it offers a blend of business and leisure amenities, making it a convenient choice for travelers.",1,1,1,1,0,1,1,1,0,0,1,1,1,1,2,,2213025,https://www.facebook.com/thepinnacledavao,https://www.instagram.com/pinnacledavao,https://thepinnaclehotel.com/home-page,1,0,1,7.076094782,125.6152063,Jeepney,"ULAS, BUHANGIN",Gaisano Mall Bajada,,,
27,Dusit Thani Hotel,Stella Hizon Reyes Drive,"Lanang, Davao City",1000,1,1,1,0,"Host corporate meetings, product launches and social gatherings in our well-appointed meeting rooms in Davao City, where flexible event spaces can be configured to your specifications and a dedicated team is on hand to ensure success.",1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,davao@dusit.com,2727500,,,https://www.dusit.com/dusitthani-residencedavao/meetings/,1,0,1,7.109764327,125.6505278,Tricycle,,Azuela Cove,,,
28,Sunny Point Hotel,Don Julian Rodriguez Sr. Avenue,"Ma-a, Davao City",300,1,1,1,0,"Come for the events, stay for the flavors, and leave with memories! Your perfect getaway starts here",1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,sunnypointdavao@yahoo.com,9338521781,https://www.facebook.com/sunnypointhotel/,https://www.instagram.com/sunnypointdavao,,1,0,1,7.094396413,125.5800041,Jeepney,MA-A,Ma-a Barangay Hall,,,
29,Mamay Inn & Resort,Mamay Road,"Buhangin, Davao City",200,1,0,0,1,"Mamay Inn and Resort is a budget-friendly accommodation located in Davao City, Philippines. Situated approximately 4 kilometers from Francisco Bangoy International Airport, it offers convenient access for travelers. The resort features a variety of amenities, including swimming pools for both adults and children, playgrounds, and cottages suitable for gatherings.",2,1,1,1,0,1,0,0,0,1,1,1,1,0,2,,3053816,https://www.facebook.com/MamayInn/,,,1,0,0,7.114212448,125.634745,Tricycle,,"Davao International Aiport, SM Lanang",,,
30,Park Inn by Radisson Hotel Davao,SM Lanang Priemiere,"Lanang, Davao City",100,1,1,0,0,"This upscale hotel is connected to the SM Lanang Premier Mall and the SMX Convention Center via a bridge,. It's also 6 km from Davao International Airport.",1,1,1,1,0,1,0,1,0,1,1,0,1,1,2,,9178591766,,,https://www.radissonhotels.com/en-us/hotels/park-inn-davao?cid=a:se+b:gmb+c:apac+i:local+e:pii+d:seap+h:PHDVO1,1,0,1,7.097485729,125.6304888,Jeepney,SASA,SM Lanang,,,
31,Three Yards,Casiana Villa Abrille,"Talomo, Davao City",500,1,1,1,1,"A boutique venue featuring a 120 sqm indoor hall and an outdoor yard, ideal for weddings, corporate gatherings, and workshops, set within a zen ambiance",2,1,1,1,0,1,1,1,0,1,1,0,1,1,2,book@threeyards.net,9175344200,,,https://threeyards.net/,1,0,0,7.052656677,125.5892447,"Jeepney, Tricycle","MATINA, MINTAL",SM City Ecoland,,,
32,Blue Lotus Hotel,Quimpo Boulevard,"Ecoland, Davao City",500,1,1,0,1,"Provides facilities for small to medium-sized meetings, seminars, conferences, and special events, with designated venues and a centralized coffee and tea break area.",2,1,1,1,0,1,0,1,0,1,1,1,1,1,1,reservation1@bluelotushotel.com,,,,https://www.bluelotushotel.com/,1,0,1,7.057131542,125.6003236,Jeepney,"MINTAL, TORIL",Ecoland Terminal,,,
